[2021-06-14 00:27:09,887: WARNING/ForkPoolWorker-6] 60748417 function calls (60137521 primitive calls) in 48.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75849    0.039    0.000    0.314    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:711(is_string_dtype)
    37936    0.074    0.000    0.313    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1619(is_bool_dtype)
    75873    0.103    0.000    0.307    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numerictypes.py:365(issubdtype)
    18960    0.098    0.000    0.293    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:276(_convert_slice_indexer)
    37921    0.288    0.000    0.288    0.000 {pandas._libs.algos.take_1d_int64_int64}
    37925    0.022    0.000    0.282    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1163(is_datetime64_any_dtype)
    75840    0.071    0.000    0.281    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:2488(is_label_like)
    75857    0.053    0.000    0.275    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1825(_is_dtype)
  2038335    0.272    0.000    0.272    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:605(dtype)
    47404    0.263    0.000    0.263    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
    56888    0.115    0.000    0.258    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:5145(__finalize__)
    75848    0.081    0.000    0.256    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:951(is_integer_dtype)
   587853    0.159    0.000    0.254    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:211(<lambda>)
    37920    0.116    0.000    0.249    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:2002(_preprocess_slice_or_indexer)
    37925    0.042    0.000    0.246    0.000 {method 'any' of 'numpy.ndarray' objects}
   151688    0.174    0.000    0.240    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:400(_get_axis_number)
   113789    0.151    0.000    0.239    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:456(name)
    85340    0.066    0.000    0.229    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:562(_values)
   151700    0.208    0.000    0.229    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numeric.py:2758(geterr)
   151693    0.102    0.000    0.228    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:65(<genexpr>)
    37933    0.108    0.000    0.228    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:167(shape)
        2    0.003    0.001    0.226    0.113 /home/jmartty/tsa/ts-analysis/backend/ts_project/services.py:61(get_series)
    37920    0.072    0.000    0.210    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:242(_is_nested_tuple_indexer)
        2    0.008    0.004    0.206    0.103 /home/jmartty/tsa/ts-analysis/backend/ts_project/elastic/series_search.py:19(get_series)
        2    0.000    0.000    0.196    0.098 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/elasticsearch/client/utils.py:69(_wrapped)
        2    0.000    0.000    0.196    0.098 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/elasticsearch/client/__init__.py:667(search)
        2    0.000    0.000    0.196    0.098 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/elasticsearch/transport.py:286(perform_request)
   151746    0.110    0.000    0.194    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/numerictypes.py:293(issubclass_)
   113771    0.060    0.000    0.192    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimelike.py:355(asi8)
   189612    0.078    0.000    0.190    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:78(tz_to_dtype)
    37923    0.043    0.000    0.186    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1284(is_datetime_or_timedelta_dtype)
   265514    0.134    0.000    0.185    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimelike.py:407(__len__)
